 -6.321189131294031149+6.447314130595196979e-05j,#VALUE!,,,,,,,,,,,,,,,,,,,
 (-7.836944845094715895e+00+2.244262484122142021e-05j),,,,,,,,,,,,,,,,,,,,
 (-8.291595403142217435e+00+-2.774409839544672313e-03j),,,,,,,,,,,,,,,,,,,,
 (-8.338851031471998354e+00+-3.825499313970692761e-03j),,,,,,,,,,,,,,,,,,,,
 (-8.375147964955672819e+00+1.059078283079443669e-02j),,,,,,,,,,,,,,,,,,,,
 (-8.934862520061132685e+00+-1.141851558916112154e-02j),,,,,,,,,,,,,,,,,,,,
 (-8.556700445079744810e+00+3.569115619180554533e-02j),,,,,,,,,,,,,,,,,,,,
 (-8.526265954782523693e+00+2.319389107821342305e-02j),,,,-15.1575572,-0.0004203052,-4.5465055,-0.0279685246,-6.32118913,6.45E-005,,-7.83694485,2.24E-005,,-15.1575572,-0.0004203052,,15.1575572058,15.1575572058,,
 (-8.526094935163188282e+00+-1.681078458660818092e-02j),,,,-0.4725563,-0.0105108947,-0.3629693,0.1441628211,-8.2915954,-2.77E-003,,-8.33885103,-3.83E-003,,-4.5465055,-0.0279685246,,4.5465915255,11.7403952985,,4.5465915255
 (-8.615676756891348376e+00+-4.274908464276785253e-02j),,,,-5.5971456,-0.220092984,3.7816207,0.471096718,-8.37514796,1.06E-002,,-8.93486252,-1.14E-002,,-0.4725563,-0.0105108947,,0.4726731805,6.4323860019,,0.4726731805
 (-9.204977906172116420e+00+-1.429115703142851135e-01j),,,,0.304345,-0.124972651,0.0017101,-0.400046757,-8.55670045,3.57E-002,,-8.52626595,2.32E-002,,-0.3629693,0.1441628211,,0.3905504215,3.9309835208,,0.3905504215
 (-8.821190640947540018e+00+-9.068401787231371303e-02j),,,,-0.8958182,-0.259383,-5.8930115,-1.001624854,-8.52609494,-1.68E-002,,-8.61567676,-4.27E-002,,-5.5971456,-0.220092984,,5.6014712165,6.9605584755,,5.6014712165
 (-8.773085040358697739e+00+-1.360917489069023989e-01j),,,,3.8378727,0.522275521,0.481056,-0.454077311,-9.20497791,-1.43E-001,,-8.82119064,-9.07E-002,,3.7816207,0.471096718,,3.8108512483,4.5948539343,,3.8108512483
 (-8.796387912266483866e+00+-1.898334953764820865e-01j),,,,-0.2330287,-0.53741746,-0.3130003,-0.25939211,-8.77308504,-1.36E-001,,-8.79638791,-1.90E-001,,0.304345,-0.124972651,,0.3290046239,7.6534406138,,0.3290046239
 (-8.827687939639867309e+00+-2.157727060925198337e-01j),,,,-0.3224473,-0.32196883,-1.8255948,-1.43451626,-8.82768794,-2.16E-001,,-8.85993267,-2.48E-001,,0.0017101,-0.400046757,,0.4000504121,6.3316122605,,0.4000504121
 (-8.859932667981109233e+00+-2.479695890033377925e-01j),,,,1.2354605,0.3173158,-5.4452624,-3.42413596,-9.04249215,-3.91E-001,,-8.9189461,-3.60E-001,,-0.8958182,-0.259383,,0.9326144906,8.3192444736,,0.9326144906
 (-9.042492151359153851e+00+-3.914212153093764579e-01j),,,,3.6570574,1.4417221,-5.3270443,-4.48017559,-9.46347234,-7.02E-001,,-9.0977666,-5.58E-001,,-5.8930115,-1.001624854,,5.9775276568,1.3975794012,,5.9775276568
 (-8.918946095054824497e+00+-3.596896354761904835e-01j),,,,4.0831918,2.10718471,-5.2149094,-5.60177411,-9.63047103,-1.01E+000,,-9.22215185,-7.95E-001,,3.8378727,0.522275521,,3.873246517,2.5351998215,,3.873246517
 (-9.463472342219278133e+00+-7.021032312991668523e-01j),,,,-3.4636081,-5.3002578,6.1771772,5.57246,-9.74364279,-1.36E+000,,-10.0900036,-1.89E+000,,0.481056,-0.454077311,,0.6615142323,4.5465915255,,0.6615142323
 (-9.097766604377191868e+00+-5.579310210577095308e-01j),,,,1.0135414,-0.9622692,-0.2130268,-2.5262339,-9.47228588,-1.33E+000,,-9.37093174,-1.42E+000,,-0.2330287,-0.53741746,,0.5857643736,0.4726731805,,0.5857643736
 (-9.630471025814149044e+00+-1.005948575430091418e+00j),,,,-4.8085776,-10.7104838,4.1625669,4.5175395,-9.39223442,-1.68E+000,,-9.87309218,-2.75E+000,,-0.3130003,-0.25939211,,0.4065137815,0.3905504215,,0.4065137815
